//X;Y;Z;C2C absolute distances;Nx;Ny;Nz
395.68;164.92;43.16;0.16;0.687867;0.240832;0.684719
390.37;155.60;46.02;0.11;-0.050929;-0.483142;0.874060
390.27;155.32;45.85;0.10;-0.149455;-0.537150;0.830141
391.02;156.20;45.62;0.09;0.936656;0.103476;0.334616
390.58;155.56;45.52;0.22;-0.092220;0.704094;-0.704094
396.30;165.89;42.78;0.14;0.089137;-0.275163;0.957256
390.96;157.00;45.97;0.22;0.931756;0.246683;0.266417
391.40;158.67;45.76;0.21;0.469149;0.462565;-0.752285
391.09;158.23;46.01;0.20;0.996733;0.026823;-0.076177
395.65;166.99;43.54;0.12;-0.024872;-0.396639;0.917638
391.29;159.80;46.38;0.10;-0.669946;-0.352172;0.653566
391.27;159.33;46.05;0.20;-0.647919;-0.308610;0.696392
391.48;158.33;45.58;0.21;0.526239;0.482803;-0.699981
396.30;165.30;42.84;0.10;0.227719;-0.177114;0.957484
396.24;164.34;42.68;0.16;0.558461;0.063622;0.827088
390.65;153.98;45.21;0.08;-0.192550;-0.386548;0.901945
390.50;153.75;45.06;0.15;-0.232792;-0.367489;0.900422
396.50;164.10;42.52;0.13;0.533569;-0.031711;0.845162
390.58;152.80;44.59;0.21;-0.142096;-0.505392;0.851110
407.71;185.78;22.24;0.10;0.525602;0.375895;0.763181
390.58;151.18;43.87;0.19;-0.072087;-0.527222;0.846664
390.99;150.51;43.52;0.14;-0.080544;-0.405452;0.910561
390.84;150.29;43.32;0.21;-0.121719;-0.473987;0.872079
391.08;147.71;41.87;0.09;0.071216;-0.492923;0.867154
405.55;174.04;30.94;0.21;0.515493;0.145395;0.844469
393.03;148.58;40.70;0.15;0.923404;0.014206;0.383568
393.20;148.29;40.39;0.19;0.903935;0.089703;0.418156
393.72;148.62;39.79;0.19;0.759300;-0.168902;0.628439
393.43;148.11;39.89;0.13;0.913529;0.106096;0.392694
408.52;176.81;24.21;0.23;0.498760;0.329851;0.801522
394.83;149.09;39.21;0.09;0.099536;-0.549613;0.829469
394.11;147.26;38.77;0.20;0.844489;-0.269190;0.463007
