//X;Y;Z;C2C absolute distances;Nx;Ny;Nz
400.91;172.54;35.82;1.28;0.781506;0.009682;0.623822
395.07;170.23;42.91;0.98;0.748828;0.126541;0.650572
394.07;169.06;44.50;0.52;0.183606;-0.210025;0.960301
396.23;168.51;42.66;0.34;0.679524;0.445781;0.582688
395.97;168.54;42.96;0.31;0.647869;0.463720;0.604343
394.41;168.77;44.38;0.34;0.236613;-0.159945;0.958349
394.25;168.59;44.14;0.63;0.039593;-0.320574;0.946396
403.58;167.21;32.72;0.88;0.576766;-0.058102;0.814841
402.00;167.42;34.38;1.27;0.838455;-0.006795;0.544928
394.00;168.41;44.15;0.79;0.194733;-0.306810;0.931637
402.40;167.17;33.90;1.21;0.727186;-0.055937;0.684157
394.87;168.04;44.01;0.26;0.029309;-0.335142;0.941712
403.83;166.61;32.55;0.73;0.572765;-0.063956;0.817221
404.04;166.41;32.37;0.64;0.515585;-0.045615;0.855623
404.24;166.21;32.26;0.52;0.492817;-0.095155;0.864915
401.94;166.53;34.29;1.33;0.821417;-0.118600;0.557861
390.18;167.75;48.05;0.65;0.794441;-0.103877;0.598391
409.31;165.16;22.75;0.30;0.793166;-0.135419;0.593759
395.43;166.40;42.96;0.58;-0.083288;-0.503962;0.859701
394.65;166.51;43.58;0.70;0.492235;0.122698;0.861772
394.05;166.60;43.76;0.96;0.375096;0.019335;0.926784
402.78;165.59;33.25;1.16;0.719894;-0.064920;0.691041
402.17;165.59;33.89;1.30;0.759391;-0.064598;0.647420
390.49;166.79;47.86;0.40;-0.184934;-0.107982;0.976801
395.99;165.92;42.49;0.49;0.183087;0.231197;0.955525
395.64;165.97;42.76;0.54;0.013456;-0.046577;0.998824
394.65;166.00;43.87;0.42;0.404800;0.121860;0.906249
394.21;166.04;44.37;0.37;0.566752;0.319500;0.759415
395.43;165.69;42.89;0.58;0.588334;0.167879;0.790999
403.63;164.99;32.53;0.79;0.572567;-0.015104;0.819719
403.27;165.04;32.78;0.95;0.578269;-0.017942;0.815649
396.28;165.34;42.27;0.41;0.774013;0.378082;0.507895
396.10;165.35;42.54;0.35;0.357504;-0.202442;0.911706
408.05;164.77;25.16;0.49;0.656137;-0.133021;0.742825
409.29;164.82;22.69;0.29;0.801942;-0.082066;0.591738
408.49;164.77;24.82;0.26;0.617391;-0.165345;0.769084
395.74;165.40;42.77;0.44;0.432832;0.058344;0.899585
401.80;165.17;34.01;1.51;0.796067;-0.082352;0.599579
390.58;165.97;47.87;0.41;-0.347286;-0.217594;0.912165
403.60;165.30;32.58;0.82;0.604240;-0.070327;0.793693
401.78;165.63;34.21;1.45;0.794908;-0.067317;0.602984
